clerocc	construc	educ	exper	expersq	female	lwage	married	ndurman	nonwhite	northcen	numdep	profocc	profserv	services	servocc	smsa	south	tenure	tenursq	trade	trcommpu	wage	west
0	0	11	2	4	1	1.1314021348953248	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3.10	1
0	0	12	22	484	1	1.1755733489990234	1	0	0	0	3	0	0	1	1	1	0	2	4	0	0	3.24	1
0	0	11	2	4	0	1.0986123085021972	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3.00	1
1	0	8	44	1936	0	1.7917594909667968	1	0	0	0	0	0	0	0	0	1	0	28	784	0	0	6.00	1
0	0	12	7	49	0	1.667706847190857	1	0	0	0	1	0	0	0	0	0	0	2	4	0	0	5.30	1
0	0	16	9	81	0	2.1690537929534912	1	0	0	0	0	1	1	0	0	1	0	8	64	0	0	8.75	1
0	0	18	15	225	0	2.420368194580078	0	0	0	0	0	1	0	0	0	1	0	7	49	1	0	11.25	1
0	0	12	5	25	1	1.609438	0	0	0	0	0	1	0	0	0	1	0	3	9	0	0	5.00	1
0	0	12	26	676	1	1.2809338569641114	0	0	0	0	2	1	0	0	0	1	0	4	16	1	0	3.60	1
0	0	17	22	484	0	2.900322198867798	1	0	0	0	0	1	0	0	0	1	0	21	441	0	0	18.18	1
0	0	16	8	64	1	1.8325815200805664	0	0	0	0	0	1	0	0	0	1	0	2	4	1	0	6.25	1
1	0	13	3	9	1	2.095561	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	8.13	1
0	0	12	15	225	0	2.171337	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8.77	1
0	0	12	18	324	0	1.704748	0	0	0	0	0	0	0	0	0	1	0	3	9	0	0	5.50	1
0	0	12	31	961	0	3.1000924110412596	1	0	0	0	1	1	0	0	0	1	0	15	225	0	0	22.20	1
0	0	16	14	196	0	2.852439	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	17.33	1
1	0	12	10	100	1	2.014903	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7.50	1
0	0	13	16	256	1	2.36368	0	0	0	0	0	1	1	0	0	1	0	10	100	0	0	10.63	1
0	0	12	13	169	1	1.2809338569641114	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	3.60	1
0	0	12	36	1296	1	1.504077434539795	1	0	0	0	0	0	1	0	1	1	0	6	36	0	0	4.50	1
0	0	12	11	121	1	1.9286186695098876	0	0	0	0	0	1	1	0	0	1	0	4	16	0	0	6.88	1
0	0	12	29	841	0	2.1377103328704832	1	0	0	0	3	0	0	0	0	1	0	13	169	0	0	8.48	1
0	0	16	9	81	1	1.8453001976013184	0	0	0	0	0	1	0	0	0	1	0	9	81	0	0	6.33	1
0	0	12	3	9	1	-0.6348783	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0.53	1
0	0	11	37	1369	1	1.7917594909667968	0	0	1	0	0	0	0	1	0	1	0	8	64	0	0	6.00	1
0	0	16	3	9	0	2.2575876712799072	1	1	1	0	1	1	0	0	0	1	0	3	9	0	0	9.56	1
0	0	16	11	121	0	2.0515563488006592	1	0	0	0	1	0	0	0	0	1	0	10	100	0	1	7.78	1
0	0	16	31	961	0	2.525728702545166	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	12.50	1
0	0	15	30	900	0	2.525728702545166	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	12.50	1
0	0	8	9	81	1	1.178655	1	0	0	0	2	0	0	0	0	1	0	1	1	0	0	3.25	1
0	0	14	23	529	0	2.5649492740631104	1	0	0	0	2	1	1	0	0	1	0	5	25	0	0	13.00	1
0	0	14	2	4	1	1.504077434539795	0	0	0	0	2	0	0	0	0	1	0	5	25	1	0	4.50	1
0	0	13	16	256	1	2.270062	0	0	0	0	0	1	0	0	0	1	0	16	256	0	0	9.68	1
1	0	12	7	49	1	1.609438	0	0	0	0	0	0	0	0	0	1	0	3	9	0	0	5.00	1
1	0	12	3	9	1	1.5432981252670288	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4.68	1
0	0	16	22	484	1	1.4516137838363648	1	0	1	0	1	1	0	0	0	1	0	4	16	1	0	4.27	1
0	0	12	15	225	1	1.8164521455764772	1	0	1	0	1	0	0	1	1	1	0	6	36	0	0	6.15	1
0	0	4	39	1521	0	1.255616	1	0	0	0	5	0	0	0	0	1	0	15	225	1	0	3.51	1
1	0	14	3	9	1	1.0986123085021972	1	0	0	0	0	0	1	0	0	1	0	3	9	0	0	3.00	1
1	0	12	11	121	1	1.8325815200805664	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	6.25	1
0	0	12	3	9	1	2.055405	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	7.81	1
1	0	12	20	400	1	2.302585	1	0	1	0	4	0	1	0	0	1	0	5	25	0	0	10.00	1
1	0	14	16	256	1	1.504077434539795	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	4.50	1
0	0	11	45	2025	1	1.3862943649291992	1	0	0	0	0	0	1	0	1	1	0	12	144	0	0	4.00	1
0	0	13	11	121	1	1.8531681299209596	0	0	0	0	0	0	0	0	0	1	0	4	16	0	0	6.38	1
0	0	15	20	400	0	2.617396	1	0	0	0	2	1	1	0	0	1	0	13	169	0	0	13.70	1
0	0	10	1	1	0	0.51282360000000008	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1.67	1
0	0	12	36	1296	1	1.0750024318695068	1	0	0	0	1	1	0	0	0	1	0	2	4	1	0	2.93	1
0	0	14	9	81	0	1.2947272062301636	0	0	0	0	0	1	0	0	0	1	0	2	4	1	0	3.65	1
0	0	12	15	225	1	1.0647107362747192	1	0	0	0	2	0	0	1	1	1	0	1	1	0	0	2.90	1
0	0	12	18	324	1	0.48858	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1.63	0
0	0	16	3	9	1	2.1517622470855712	0	0	0	0	0	1	1	0	0	1	0	2	4	0	0	8.60	0
1	0	12	15	225	0	1.609438	1	0	0	0	1	0	0	0	0	1	0	5	25	1	0	5.00	0
0	0	12	7	49	0	1.7917594909667968	1	0	0	0	0	0	0	0	0	1	0	7	49	0	0	6.00	0
0	0	12	2	4	0	0.9162908	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2.50	0
0	0	15	3	9	0	1.178655	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3.25	0
0	0	16	1	1	1	1.2237755060195922	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	3.40	0
0	0	8	13	169	0	2.302585	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	10.00	0
0	0	18	8	64	1	3.074081	0	0	0	0	0	1	1	0	0	1	0	8	64	0	0	21.63	0
0	0	16	7	49	0	1.4770487546920776	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4.38	0
0	0	13	40	1600	1	2.4604432582855224	0	1	0	0	0	1	0	0	0	1	0	20	400	0	0	11.71	0
0	0	14	42	1764	0	2.5168898105621336	0	0	0	0	0	1	1	0	0	1	0	5	25	0	0	12.39	0
0	0	10	36	1296	0	1.8325815200805664	0	0	0	0	0	0	0	0	1	1	0	8	64	1	0	6.25	0
